sku,row_type,name,brand,category,sheet,status,finding,caveat,facts_scored,copy_enriched,prose_words,bullets,spec_rows,spec_rows_informative,meta_len,has_short_desc,has_image,gallery_images,has_dimensions,model_number,status_published,import_evidence,supplier_sheet,research_file,finding_theme
IMG/REF/00043,top,Drawer Counter Chiller 6 Drawers 1800 Blueline,SHEFFIELD BLUELINE,Refrigeration > Drawer Chillers,,Complete,,,,1,53,6,10,7,160,1,1,0,1,U-GN3160TN,published,,BLUELINE (23),sap-reconciliation-research.md;sheffield-blueline-research.md,
IMG/REF/00044,top,Upright Solid Door Chiller 1 Door Blueline,SHEFFIELD BLUELINE,Refrigeration > Upright Chillers,,Complete,,,,1,50,10,11,8,153,1,1,0,1,GN650TN,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00049,top,Upright Glass Door Chiller Single 8007 DGD,TECNODOM,Refrigeration > Upright Chillers,,Complete,,,,1,100,6,17,14,150,1,1,0,1,AF07EKOMTNPV,published,,TECNODOM (8),sap-reconciliation-research.md;tecnodom-research.md,
IMG/REF/00057,top,Blast Chiller 5 Trays DGD,TECNODOM,Refrigeration > Blast Chillers,,Complete,,,,1,134,6,18,17,156,1,1,2,1,ATT-05,published,,TECNODOM (8),tecnodom-research.md,
IMG/REF/00060,top,Upright Solid Door Chiller 2 Door DGD AF14PKMTN,TECNODOM,Refrigeration > Upright Chillers,,Complete,,,,1,90,6,16,13,147,1,1,1,1,AF14PKMTN,published,,TECNODOM (8),tecnodom-research.md,
IMG/REF/00062,top,Upright Solid Door Chiller 1 Door DGD AF07PKMTN,TECNODOM,Refrigeration > Upright Chillers,,Complete,,,,1,86,7,16,13,148,1,1,0,1,AF07PKMTN,published,,TECNODOM (8),tecnodom-research.md,
IMG/REF/00095,top,Upright Solid Door Chiller 2 Door Blueline GN1410TN,SHEFFIELD BLUELINE,Refrigeration > Upright Chillers,,Complete,,,,1,50,10,11,8,155,1,1,0,1,GN1410TN,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00097,top,Upright Glass Door Chiller Double 1408 Blueline GN1410TNG,SHEFFIELD BLUELINE,Refrigeration > Upright Chillers,,Complete,,,,1,49,9,11,8,157,1,1,0,1,GN1410TNG,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00099,top,Drawer Counter Chiller 8 Drawers 2200 Blueline,SHEFFIELD BLUELINE,Refrigeration > Drawer Chillers,,Complete,,,,1,53,6,9,6,129,1,1,0,1,U-GN4180TN,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00102,top,Counter Chiller 2207 Blueline GN4100TN,SHEFFIELD BLUELINE,Refrigeration > Counter Chillers,,Complete,,,,1,46,8,11,8,136,1,1,0,1,GN4100TN,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00105,top,Barline Chiller 1207 Blueline GN2100TNG-1200,SHEFFIELD BLUELINE,Refrigeration > Barline Chillers,,Complete,,,,1,46,8,11,8,143,1,1,0,1,GN2100TNG-1200,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00106,top,Barline Chiller 1507 Blueline GN2100TNG-1500,SHEFFIELD BLUELINE,Refrigeration > Barline Chillers,,Complete,,,,1,46,8,11,8,143,1,1,0,1,GN2100TNG-1500,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00107,top,Barline Chiller 1807 Blueline GN3100TNG,SHEFFIELD BLUELINE,Refrigeration > Barline Chillers,,Complete,,,,1,46,8,11,8,137,1,1,0,1,GN3100TNG,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00126,top,3 Door Counter Chiller 1800X600X860 SNACK3100TN-1800,SHEFFIELD BLUELINE,Refrigeration > Counter Chillers,,Complete,,,,1,48,8,11,8,146,1,1,0,1,SNACK3100TN,published,,BLUELINE (23),blueline-research.md;sheffield-blueline-research.md,
IMG/REF/00136,top,Bulk Milk Chiller 500 Litres BMC-500,ICEMAKE,Refrigeration > Milk Chillers,,Complete,,,,1,129,6,20,17,155,1,1,1,1,BMC-500,published,,,icemake-research.md,
IMG/REF/00144,top,Barline Chiller 1207 Blueline,SHEFFIELD BLUELINE,Refrigeration > Barline Chillers,REFRIGERATION,Sources disagree,"our record is 1360 wide, SAP says 1200",,,1,46,8,11,8,138,1,1,0,1,GN2100TNG,published,BLUELINE / SHEFFIELD  BLUELINE `GN2100TNG (exact),BLUELINE (23),sap-reconciliation-research.md;sheffield-blueline-research.md,Other spec value
IMG/REF/00155,top,Barline Chiller 2206 Blueline,SHEFFIELD BLUELINE,Refrigeration > Barline Chillers,,Complete,,,,1,46,8,11,8,140,1,1,0,1,SNACK4100TNG,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00156,top,Solid Door Chiller 1 Door Under Counter DR200 S/S,SHEFFIELD BLUELINE,Refrigeration > Counter Chillers,,Complete,,,,1,54,7,11,8,140,1,1,0,1,DR200 S/S,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00157,top,Upright Solid 1 Door Chiller 600 Sries DR400 S/S,SHEFFIELD BLUELINE,Refrigeration > Upright Chillers,,Complete,,,,1,53,8,11,8,137,1,1,0,1,DR400 S/S,published,,BLUELINE (23),sap-reconciliation-research.md;sheffield-blueline-research.md,
IMG/REF/00160,top,Barline Chiller 1406 Blueline,SHEFFIELD BLUELINE,Refrigeration > Barline Chillers,,Complete,,,,1,46,8,11,8,140,1,1,1,1,SNACK2100TNG,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00161,top,Barline Chiller 1806 Blueline,SHEFFIELD BLUELINE,Refrigeration > Barline Chillers,,Complete,,,,1,46,8,11,8,140,1,1,0,1,SNACK3100TNG,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00166,top,Counter Chiller with 4 Drawers,SHEFFIELD BLUELINE,Refrigeration > Drawer Chillers,,Complete,,,,1,47,6,9,6,136,1,1,0,1,GN2140TN,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00167,top,Counter Chiller with 4 Drawers & 1 Door,SHEFFIELD BLUELINE,Refrigeration > Drawer Chillers,,Complete,,,,1,52,4,11,8,128,1,1,0,1,GN3140TN,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00168,top,3 Door Saladette Counter 1340 Blueline,SHEFFIELD BLUELINE,Refrigeration > Saladette & Salad Counters,,Complete,,,,1,48,4,11,8,141,1,1,0,1,S903,published,,BLUELINE (23),sap-reconciliation-research.md;sheffield-blueline-research.md,
IMG/REF/00177,top,Counter Chiller (Engineering Version) 1200*700,SV-BLUELINE,Refrigeration > Counter Chillers,REFRIGERATION,Complete,,thin listing,5,1,33,4,8,5,151,1,1,0,1,PLR-12N2F(HB),published,,COMENDA (1),sap-reconciliation-research.md;sv-blueline-research.md,
IMG/REF/00178,top,Counter Chiller (Engineering Version) 1500*700,SV-BLUELINE,Refrigeration > Counter Chillers,REFRIGERATION,Complete,,thin listing,5,1,33,4,8,5,151,1,1,0,1,PLR-15N2F(HB),published,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00182,top,Refrigerated Counter Chiller 2 Doors & 4 Drawers (2230*700),SHEFFIELD BLUELINE,Refrigeration > Drawer Chillers,,Complete,,,,1,52,6,11,8,137,1,1,0,1,GN4140TN,published,,BLUELINE (23),sap-reconciliation-research.md;sheffield-blueline-research.md,
IMG/REF/00184,top,Upright Single Solid Door Chiller CFR-20N1F(HB),SV-BLUELINE,Refrigeration > Upright Chillers,REFRIGERATION,Complete,,thin listing,6,1,33,5,8,5,134,1,1,0,1,CFR-20N1F(HB),published,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00186,top,Upright Double Solid Door Chiller CFR-40N2F(HB),SV-BLUELINE,Refrigeration > Upright Chillers,REFRIGERATION,Complete,,thin listing,6,1,36,5,8,5,135,1,1,0,1,CFR-40N2F(HB),published,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00193,top,Blast Chiller for 10 Trays GN1/1 or 60X40-ABBATT,TECNODOM,Refrigeration > Blast Chillers,,Complete,,,,1,137,6,20,18,153,1,1,1,1,P-ATT10EA,published,,TECNODOM (8),tecnodom-research.md,
IMG/REF/00194,top,2 Door Counter Chiller 1200X600X860 SNACK2100TN-1200,BLUELINE,Refrigeration > Counter Chillers,,Complete,,,,1,47,8,11,8,141,1,1,0,1,SNACK2100TN-1200,published,,,blueline-research.md;sheffield-blueline-research.md,
IMG/REF/00195,top,2 Door Counter Chiller 1500X600X860 SNACK2100TN-1500,BLUELINE,Refrigeration > Counter Chillers,,Complete,,,,1,47,8,11,8,141,1,1,0,1,SNACK2100TN-1500,published,,,blueline-research.md;sheffield-blueline-research.md,
IMG/REF/00196,top,4 Door Counter Chiller 2230X600X860 SNACK4100TN,BLUELINE,Refrigeration > Counter Chillers,,Complete,,,,1,47,9,11,8,136,1,1,0,1,SNACK4100TN,published,,,blueline-research.md;sheffield-blueline-research.md,
IMG/REF/00215,top,Counter Chiller 9006 Blueline,SHEFFIELD BLUELINE,Refrigeration > Counter Chillers,,Complete,,,,1,46,4,11,8,138,1,1,0,1,SNACK1100TN,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00220,top,Barline Chiller 1506 Blueline SNACK2100TNG-1500,SHEFFIELD BLUELINE,Refrigeration > Barline Chillers,,Complete,,,,1,46,4,11,8,145,1,1,0,1,SNACK2100TNG-1500,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00231,top,Counter Chiller (Engineering Version) 1800*700,SV-BLUELINE,Refrigeration > Counter Chillers,REFRIGERATION,Complete,,thin listing,5,1,33,4,8,5,151,1,1,0,1,PLR-18N2F(HB),draft,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00031,top,Upright Solid Door Freezer 2 Semi Doors Blueline,SHEFFIELD BLUELINE,Refrigeration > Upright Freezers,,Complete,,,,1,51,10,11,8,126,1,1,0,1,GN650BTM,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00033,top,Upright Glass Door Freezer Single 7008 Meileda,SHEFFIELD BLUELINE,Refrigeration > Upright Freezers,,Complete,,,,1,49,10,11,8,156,1,1,0,1,GN650BTG,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00035,top,Counter Freezer 9007 Blueline,SHEFFIELD BLUELINE,Refrigeration > Counter Freezers,,Complete,,,,1,46,8,11,8,137,1,1,0,1,GN1100BT,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00038,top,Salad Counter 3 Door 1800 Blueline,SHEFFIELD BLUELINE,Refrigeration > Saladette & Salad Counters,,Complete,,,,1,48,8,11,8,144,1,1,0,1,SH3000/700,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00039,top,Salad Counter 3 Door 2000 Blueline,SHEFFIELD BLUELINE,Refrigeration > Saladette & Salad Counters,,Complete,,,,1,48,10,11,8,144,1,1,0,1,SH3000/800,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00040,top,2 Door Saladette Counter 1045 Blueline,SHEFFIELD BLUELINE,Refrigeration > Saladette & Salad Counters,,Complete,,,,1,48,8,11,8,142,1,1,0,1,S902V,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00045,top,Upright Solid Door Freezer 1 Door Blueline,SHEFFIELD BLUELINE,Refrigeration > Upright Freezers,,Complete,,,,1,50,11,11,8,155,1,1,0,1,GN650BT,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00096,top,Upright Solid Door Freezer 2 Door Blueline GN1410BT,SHEFFIELD BLUELINE,Refrigeration > Upright Freezers,,Complete,,,,1,50,4,11,8,158,1,1,0,1,GN1410BT,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00098,top,Upright Glass Door Freezer Double 1408 Blueline GN1410BTG,SHEFFIELD BLUELINE,Refrigeration > Upright Freezers,,Complete,,,,1,49,10,11,8,159,1,1,0,1,GN1410BTG,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00103,top,Counter Freezer 1207 Blueline GN2100BT-1200,SHEFFIELD BLUELINE,Refrigeration > Counter Freezers,REFRIGERATION,Sources disagree,"supplier sheet prints 860, we and SAP hold 1085",,,1,46,8,11,8,143,1,1,0,1,GN2100BT-1200,published,,BLUELINE (23),sheffield-blueline-research.md,Other spec value
IMG/REF/00104,top,Counter Freezer 1507 Blueline GN2100BT-1500,SHEFFIELD BLUELINE,Refrigeration > Counter Freezers,,Complete,,,,1,46,9,11,8,143,1,1,0,1,GN2100BT-1500,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00127,top,Counter Freezer SNACK2100BT 600 Series,SHEFFIELD BLUELINE,Refrigeration > Counter Freezers,,Complete,,,,1,47,4,11,8,148,1,1,0,1,SNACK2100BT,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00128,top,Counter Freezer SNACK3100BT 600 Series,SHEFFIELD BLUELINE,Refrigeration > Counter Freezers,,Complete,,,,1,47,8,11,8,148,1,1,0,1,SNACK3100BT,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00158,top,Solid Door Freezer 1 Door Under Counter DF200 S/S,SHEFFIELD BLUELINE,Refrigeration > Counter Freezers,,Complete,,,,1,54,10,11,8,142,1,1,0,1,DF200 S/S,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00159,top,Upright Solid 1 Door Freezer 600 Sries DF400 S/S,SHEFFIELD BLUELINE,Refrigeration > Upright Freezers,REFRIGERATION,Sources disagree,1800 (ours) vs 1870 (web) vs 1850 (catalogue),,,1,53,10,11,8,139,1,1,0,1,DF400 S/S,published,,BLUELINE (23),sheffield-blueline-research.md,Other spec value
IMG/REF/00217,top,2 Door Counter Freezer 1500X600X860 SNACK2100BT-1500,SHEFFIELD BLUELINE,Refrigeration > Counter Freezers,,Complete,,,,1,48,7,11,8,152,1,1,0,1,SNACK2100BT-150,draft,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00218,top,2 Door Counter Freezer 1200X600X860 SNACK2100BT-1200,SHEFFIELD BLUELINE,Refrigeration > Counter Freezers,,Complete,,,,1,48,9,11,8,153,1,1,0,1,SNACK2100BT-1200,draft,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00219,top,Counter Freezer 9006 SNACK1100BT,SHEFFIELD BLUELINE,Refrigeration > Counter Freezers,REFRIGERATION,Sources disagree,900 is a transcription error for 925,,,1,46,7,11,8,140,1,1,0,1,SNACK1100BT,draft,,BLUELINE (23),sheffield-blueline-research.md,Other spec value
IMG/DIS/00069,top,Refrigerated Pizza Display VRX1500/380 FG,BLUELINE,Refrigeration > Pizza Fridges,REFRIGERATION,Sources disagree,model number: workbook VRX1500/80 vs record VRX1500/380,,,1,95,6,12,9,157,1,1,0,1,VRX1500/380 FG,published,,,blueline-research.md;sheffield-blueline-research.md,Model code / identity
IMG/DIS/00131,top,Widened Island Freezer with Thickened Foam Layer,SV-BLUELINE,Refrigeration > Chest & Island Freezers,,Complete,,,,1,36,4,8,5,139,1,1,0,1,SD/SC-2000K,published,,COMENDA (1),sv-blueline-research.md,
IMG/DIS/00137,top,Refrigerated Pizza Display VRX1800/380 FG,BLUELINE,Refrigeration > Pizza Fridges,REFRIGERATION,Sources disagree,height 440 vs 455 vs 230/435 across three sources,,,1,41,7,10,7,136,1,1,0,1,VRX1800/380 FG,published,,,blueline-research.md;sheffield-blueline-research.md,Dimensions
IMG/REF/00179,top,Counter Chiller (Engineering Version) 1800*600,SV-BLUELINE,Refrigeration > Counter Chillers,REFRIGERATION,Complete,,thin listing,5,1,33,4,8,5,151,1,1,0,1,PLR-18N2F(HB),published,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00183,top,Upright Single Solid Door Freezer CFD-20N1(HB),SV-BLUELINE,Refrigeration > Upright Freezers,,Complete,,,,1,37,6,9,6,147,1,1,0,1,CFD-20N1(HB),published,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00185,top,Upright Double Solid Door Freezer CFD-40N2F(HB),SV-BLUELINE,Refrigeration > Upright Freezers,,Complete,,,,1,37,6,9,6,149,1,1,0,1,CFD-40N2F(HB),published,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00197,top,Single Temperature Double Top Freezer BD/BC-388,SV-BLUELINE,Refrigeration > Chest & Island Freezers,,Complete,,,,1,27,4,5,2,155,1,1,0,1,BD/BC-388,published,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00198,top,Arched Glass Door Freezer SD/SC-158Y,SV-BLUELINE,Refrigeration > Chest & Island Freezers,REFRIGERATION,Sources disagree,"SAP height 800 is internal, the external figure is 850",,,1,47,2,6,3,133,1,1,0,1,SD/SC-158Y,published,,COMENDA (1),sv-blueline-research.md,Dimensions
IMG/REF/00200,top,Island Freezer SD/SC-518,SV-BLUELINE,Refrigeration > Chest & Island Freezers,,Complete,,,,1,32,2,6,3,156,1,1,1,1,SD/SC-518,published,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00201,top,Counter Freezer (Air Cooled Freezing) PLD-15N2F(HB),SV-BLUELINE,Refrigeration > Counter Freezers,REFRIGERATION,Complete,,thin listing,3,1,18,2,4,1,125,1,1,0,1,PLD-15N2F(HB),published,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00202,top,Upright Triple Solid Door Freezer (CFD-60D3F-K),SV-BLUELINE,Refrigeration > Upright Freezers,REFRIGERATION,Complete,,thin listing,3,1,18,2,4,1,121,1,1,0,1,CFD-60D3F-K,published,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00204,top,Order Dish Multifunctional Cabinet (LMD-1894QK),SV-BLUELINE,Displays > Convenience Store Cabinets,DISPLAYS,Complete,,thin listing,3,1,17,2,4,1,121,1,1,0,1,LMD-1894QK,published,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00205,top,Order Dish Convenience Store Cabinet LCD-639,SV-BLUELINE,Displays > Convenience Store Cabinets,,Complete,,,,1,21,4,5,2,131,1,1,0,1,LCD-639,published,,COMENDA (1),sv-blueline-research.md,
IMG/REF/00232,top,Counter Freezer (Air Cooled Freezing) 1500*700,SV-BLUELINE,Refrigeration > Counter Freezers,REFRIGERATION,Complete,,thin listing,5,1,34,4,8,5,150,1,1,0,1,PLD-15N2F(HB),draft,,COMENDA (1),sap-reconciliation-research.md;sv-blueline-research.md,
IMG/REF/00061,top,Upright Solid Door Freezer 1 Door DGD AF07PKMBT,TECNODOM,Refrigeration > Upright Freezers,,Complete,,,,1,112,6,18,15,150,1,1,0,1,AF07PKMBT,draft,,TECNODOM (8),tecnodom-research.md,
IMG/REF/00063,top,Upright Solid Door Freezer 2 Door DGD AF14PKMBT,TECNODOM,Refrigeration > Upright Freezers,,Complete,,,,1,88,6,17,14,151,1,1,0,1,AF14PKMBT,published,,TECNODOM (8),tecnodom-research.md,
IMG/REF/00211,top,Freezer Counter 2 Doors GN 1/1 Mid Line,TECNODOM,Refrigeration > Counter Freezers,,Complete,,,,1,130,6,19,16,154,1,1,0,1,TF02MIDBT,draft,,TECNODOM (8),tecnodom-research.md,
IMG/REF/00212,top,Freezer Counter 3 Doors GN 1/1 Mid Line,TECNODOM,Refrigeration > Counter Freezers,,Complete,,,,1,126,6,21,18,151,1,1,0,1,TF03MIDBT,draft,,TECNODOM (8),tecnodom-research.md,
IMG/DIS/00022,top,Back Bar Cooler Single Door H Kitchen,HK-REDLINE,Refrigeration > Back Bar Coolers,,Complete,,,,1,145,5,8,5,136,1,1,0,1,HK-BC-01B,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/DIS/00023,top,Back Bar Cooler Double Door SS H Kitchen,HK-REDLINE,Refrigeration > Back Bar Coolers,,Complete,,,,1,133,5,8,5,135,1,1,0,1,HK-BC-02B,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/DIS/00024,top,Back Bar Cooler Triple Door H Kitchen,HK-REDLINE,Refrigeration > Back Bar Coolers,,Complete,,,,1,22,4,4,1,97,1,1,0,1,HK-BC-03B,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/DIS/00112,top,Back Bar Cooler Double Door Black H Kitchen,HK-REDLINE,Refrigeration > Back Bar Coolers,,Complete,,,,1,144,5,8,5,131,1,1,0,1,HK-BC-02,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/DIS/00042,top,Bottle Cooler Table Top Tefcold BC 60,TEFCOLD,Refrigeration > Bottle Coolers,,Complete,,,,1,102,6,23,20,152,1,1,1,1,BC 60,published,,TEFCOLDxx (1),tefcold-research.md;tefcold-waring-research.md,
IMG/DIS/00060,top,Bottle Cooler Table Top Tefcold BC 85-1,TEFCOLD,Refrigeration > Bottle Coolers,,Complete,,,,1,112,6,25,22,145,1,1,2,1,BC 85-1,published,,TEFCOLDxx (1),tefcold-research.md;tefcold-waring-research.md,
IMG/DIS/00093,top,Multi Deck Display Cooler V6060SL DGD,TECNODOM,Displays > Multideck & Deli Displays,,Complete,,,,1,128,6,17,14,144,1,1,2,1,V6060SL,published,,TECNODOM (8),tecnodom-research.md,
IMG/DIS/00095,top,Multi Deck Display Cooler VB80250SL DGD,TECNODOM,Displays > Multideck & Deli Displays,,Complete,,,,1,122,6,17,14,143,1,1,1,1,VB80250SL,published,,TECNODOM (8),tecnodom-research.md,
IMG/DIS/00096,top,Multi Deck Display Cooler V60187SL DGD,TECNODOM,Displays > Multideck & Deli Displays,,Complete,,,,1,115,6,18,15,144,1,1,0,1,V60187SL,published,,TECNODOM (8),tecnodom-research.md,
IMG/DIS/00100,top,Multi Deck Display Cooler VS60150SLINOX DGD,TECNODOM,Displays > Multideck & Deli Displays,,Complete,,,,1,111,6,18,15,146,1,1,0,1,VS60150SLINOX,published,,TECNODOM (8),tecnodom-research.md,
IMG/DIS/00106,top,Multi Deck Display Cooler V6080SLINOX DGD,TECNODOM,Displays > Multideck & Deli Displays,,Complete,,,,1,116,6,18,15,142,1,1,0,1,V6080SLINOX,published,,TECNODOM (8),tecnodom-research.md,
IMG/DIS/00120,top,Wine Cooler Upright EWB470G,SHEFFIELD BLUELINE,Refrigeration > Wine Coolers,,Complete,,,,1,70,6,11,8,147,1,1,0,1,EWB470G,published,,BLUELINE (23),sap-reconciliation-research.md;sheffield-blueline-research.md,
IMG/DIS/00142,top,Wine Cooler Under Counter YC-53,H-KITCHEN,Refrigeration > Wine Coolers,,Complete,,,,1,141,5,8,5,136,1,1,1,1,YC-53,published,,"H KITCHEN (2), BRAVO (1)",h-kitchen-research.md,
IMG/DIS/00143,top,Beverage Cooler TYC-120-2D,H-KITCHEN,Refrigeration > Bottle Coolers,,Complete,,,,1,142,5,9,6,142,1,1,1,1,TYC-120-2D,published,,"H KITCHEN (2), BRAVO (1)",h-kitchen-research.md,
IMG/DIS/00146,top,Back Bar Cooler Single Door Black H Kitchen,HK-REDLINE,Refrigeration > Back Bar Coolers,,Complete,,,,1,112,5,8,5,133,1,1,0,1,HK-BC-01,draft,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/REF/00203,top,Vertical Display Cabinet Triple Door Chiller(Alu Frame) LC-1500(T),SV-BLUELINE,Displays > Multideck & Deli Displays,DISPLAYS,No supplier data,No published specification found for this cabinet.,,,1,20,1,4,1,141,1,1,0,1,LC-1500(T),published,,COMENDA (1),sv-blueline-research.md,Other spec value
IMG/DIS/00132,top,Vertical Display Cabinet Single Door Chiller (Aluminum Frame),SV-BLUELINE,Displays > Multideck & Deli Displays,,Complete,,,,1,35,6,12,9,133,1,1,0,1,LC-298B,published,,COMENDA (1),sv-blueline-research.md,
IMG/DIS/00133,top,Vertical Display Cabinet Double Door Chiller (Aluminum Frame),SV-BLUELINE,Displays > Multideck & Deli Displays,,Complete,,,,1,32,5,11,8,159,1,1,0,1,LC-1200(T),published,,COMENDA (1),sv-blueline-research.md,
IMG/DIS/00001,top,Pastry Display Four Glass Berjaya,BERJAYA,Displays > Pastry Displays,,Complete,,,,1,84,6,15,12,153,1,1,0,1,BJY-4GDC78L-A,published,,BERJAYA (5),berjaya-research.md,
IMG/DIS/00037,top,Pastry Display Square 1500 Evok,TECNODOM,Displays > Pastry Displays,,Complete,,,,1,125,6,15,12,149,1,1,2,1,EVOK150V,published,,TECNODOM (8),tecnodom-research.md,
IMG/DIS/00019,top,Pastry Display Square 1500 FGDG 1500LS-3,HK-REDLINE,Displays > Pastry Displays,,Complete,,,,1,151,6,6,3,139,1,1,1,1,FGDG1.0A-1500LS,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/DIS/00021,top,Pastry Display Square 1500 FGDG 1500LSD-3,HK-REDLINE,Displays > Pastry Displays,,Complete,,,,1,144,6,6,3,130,1,1,1,1,FGDG 1500LSD-3,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/DIS/00020,top,Pastry Display Square 1800,HK-REDLINE,Displays > Pastry Displays,DISPLAYS,Sources disagree,"description is the LILY series, the code is an ORCHID",,,1,144,6,9,6,137,1,1,1,1,FGDG 1800LS-3,published,H KITCHEN / H Kitchen `FGDG1800LS (near),"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,Model code / identity
IMG/DIS/00059,top,Pastry Display Table Top 160L XCW-160L,TUNGSTEN,Displays > Pastry Displays,,Complete,,,,1,115,4,6,3,133,1,1,0,1,XCW-160L,published,,H KITCHEN (1),sunnylux-tecnoroast-tungsten-research.md,
IMG/DIS/00090,top,Pastry Showcase Square 1200 FG-1200LS,ASTAR,Displays > Pastry Displays,,Complete,,,,1,84,4,8,5,149,1,1,1,1,FG-1200LS,published,,,astar-research.md,
IMG/DIS/00126,top,Cake Cabinet Square 900FZ,SV-BLUELINE,Displays > Pastry Displays,,Complete,,,,1,33,4,8,5,134,1,1,0,1,DG-900FZ,published,,COMENDA (1),sv-blueline-research.md,
IMG/DIS/00127,top,Cake Cabinet Square 1200FZ,SV-BLUELINE,Displays > Pastry Displays,,Complete,,,,1,33,4,8,5,137,1,1,0,1,DG-1200FZ,published,,COMENDA (1),sv-blueline-research.md,
IMG/DIS/00128,top,Cake Cabinet Square 1500FZ,SV-BLUELINE,Displays > Pastry Displays,,Complete,,,,1,33,4,8,5,137,1,1,0,1,DG-1500FZ,published,,COMENDA (1),sv-blueline-research.md,
IMG/DIS/00129,top,Cake Cabinet Curved DG-TY700,SV-BLUELINE,Displays > Pastry Displays,,Complete,,,,1,32,4,8,5,126,1,1,1,1,DG-TY700,published,,COMENDA (1),sv-blueline-research.md,
IMG/DIS/00130,top,Cake Cabinet Square DG-TZ700,SV-BLUELINE,Displays > Pastry Displays,,Complete,,,,1,32,4,8,5,126,1,1,1,1,DG-TZ700,published,,COMENDA (1),sv-blueline-research.md,
IMG/DIS/00145,top,Ice Cream Display LK-1.2DD,OUCBOLL,Displays > Ice Cream Displays,DISPLAYS,Our records only,no external source published - written from our own records,,,0,85,6,0,0,0,1,1,0,1,LK-1.2DD,published,,,oem-placeholder-brands-research.md,Other spec value
IMG/DIS/00144,top,Ice Cream Display LK-1.6BY,OUCBOLL,Displays > Ice Cream Displays,DISPLAYS,Our records only,no external source published - written from our own records,,,0,78,7,0,0,0,1,1,0,1,LK-1.6BY,published,,,oem-placeholder-brands-research.md,Other spec value
IMG/DIS/00062,top,Ice Static Display Case Infrico VBZ12,INFRICO,Displays > Ice Cream Displays,,Complete,,,,1,138,6,21,19,153,1,1,3,1,VBZ12S,published,,INFRICO (1),infrico-research.md,
IMG/DIS/00103,top,Warm Display Table Top R60-2,HK-REDLINE,Displays > Warm Displays,,Complete,,,,1,136,5,8,5,141,1,1,0,1,R60-2,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
